term,korean_label,english_gloss,part_of_speech,primary_axis,secondary_axes,descriptor_type,polarity,intensity,synonym_group,opposite_terms,example_phrases,mapped_existing_objects,candidate_objects,integration_status,notes
답답한,답답한,stuffy closed,adjective,atmosphere,,atmosphere_descriptor,context_dependent,medium,stuffy_closed,맑은|탁 트인,답답하게 머무는|공기가 무거운|막힌 공간 같은,barrel_cellar|old_library,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
막힌,막힌,stuffy closed,expression,atmosphere,,atmosphere_descriptor,context_dependent,medium,stuffy_closed,맑은|탁 트인,답답하게 머무는|공기가 무거운|막힌 공간 같은,barrel_cellar|old_library,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
깨끗한,깨끗한,clean orderly,adjective,atmosphere,,atmosphere_descriptor,context_dependent,medium,clean_orderly,낡은|흙내 나는,깨끗하게 정리된|단정한 분위기|먼지 없이 맑은,clean_room|fresh_linen,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
정돈된,정돈된,clean orderly,expression,atmosphere,,atmosphere_descriptor,context_dependent,medium,clean_orderly,낡은|흙내 나는,깨끗하게 정리된|단정한 분위기|먼지 없이 맑은,clean_room|fresh_linen,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
도시적인,도시적인,urban,adjective,atmosphere,,atmosphere_descriptor,context_dependent,medium,urban,숲 같은|정원 같은,도시적인 비 냄새|도로 같은 분위기|콘크리트 위의 공기,rain_on_asphalt|rainy_street|cold_metal,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
도로 같은,도로 같은,urban,adjective,atmosphere,,atmosphere_descriptor,context_dependent,medium,urban,숲 같은|정원 같은,도시적인 비 냄새|도로 같은 분위기|콘크리트 위의 공기,rain_on_asphalt|rainy_street|cold_metal,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
숲 같은,숲 같은,forest like,adjective,atmosphere,,atmosphere_descriptor,context_dependent,medium,forest_like,도시적인|금속적인,숲 같은 공기|그늘진 습도|흙과 잎이 섞인,forest_floor|wet_moss|bark,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
그늘진,그늘진,forest like,expression,atmosphere,,atmosphere_descriptor,context_dependent,medium,forest_like,도시적인|금속적인,숲 같은 공기|그늘진 습도|흙과 잎이 섞인,forest_floor|wet_moss|bark,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
둥근,둥근,round,expression,shape,,axis_descriptor,context_dependent,medium,round,각진|날카로운,둥글게 감싸는|모서리 없이 남는|원형으로 퍼지는,vanilla_cream|cashmere|warm_cotton,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
모서리 없는,모서리 없는,round,adjective,shape,,axis_descriptor,context_dependent,medium,round,각진|날카로운,둥글게 감싸는|모서리 없이 남는|원형으로 퍼지는,vanilla_cream|cashmere|warm_cotton,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
각진,각진,angular,expression,shape,,axis_descriptor,context_dependent,medium,angular,둥근|흐린,각지게 서 있는|모서리가 느껴지는|기하학적인 선,cut_diamond|cold_metal|slate,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
모서리가 있는,모서리가 있는,angular,adjective,shape,,axis_descriptor,context_dependent,medium,angular,둥근|흐린,각지게 서 있는|모서리가 느껴지는|기하학적인 선,cut_diamond|cold_metal|slate,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
납작한,납작한,flat,adjective,shape,,axis_descriptor,context_dependent,medium,flat,두꺼운|부풀어 오른,납작하게 깔리는|평평한 표면 같은|얇게 눌린 느낌,slate|marble,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
평평한,평평한,flat,adjective,shape,,axis_descriptor,context_dependent,medium,flat,두꺼운|부풀어 오른,납작하게 깔리는|평평한 표면 같은|얇게 눌린 느낌,slate|marble,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
뾰족한,뾰족한,pointed,adjective,shape,,axis_descriptor,context_dependent,medium,pointed,둥근|무딘,뾰족하게 올라오는|끝이 선 느낌|찌르듯 지나가는,citrus_peel|cut_diamond|cold_metal,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
끝이 선,끝이 선,pointed,noun_phrase,shape,,axis_descriptor,context_dependent,medium,pointed,둥근|무딘,뾰족하게 올라오는|끝이 선 느낌|찌르듯 지나가는,citrus_peel|cut_diamond|cold_metal,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
퍼져 있는,퍼져 있는,diffuse,adjective,shape,,axis_descriptor,context_dependent,medium,diffuse,중심이 또렷한|각진,형체 없이 퍼지는|구름처럼 흐려지는|중심이 흐린,cold_fog|film_grain|organza,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
형체가 흐린,형체가 흐린,diffuse,noun_phrase,shape,,axis_descriptor,context_dependent,medium,diffuse,중심이 또렷한|각진,형체 없이 퍼지는|구름처럼 흐려지는|중심이 흐린,cold_fog|film_grain|organza,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
날카로운,날카로운,sharp edge,adjective,edge,,axis_descriptor,context_dependent,medium,sharp_edge,경계가 흐린|둥근,경계가 선명한|날카롭게 잘린|선이 또렷한,cut_diamond|four_k_clarity|cold_metal,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
경계가 선명한,경계가 선명한,sharp edge,adjective,edge,,axis_descriptor,context_dependent,medium,sharp_edge,경계가 흐린|둥근,경계가 선명한|날카롭게 잘린|선이 또렷한,cut_diamond|four_k_clarity|cold_metal,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
경계가 부드러운,경계가 부드러운,soft edge,adjective,edge,,axis_descriptor,context_dependent,medium,soft_edge,날카로운|각진,경계가 부드러운|모서리가 둥근|무디게 남는,cashmere|vanilla_cream|velvet,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
모서리가 둥근,모서리가 둥근,soft edge,noun_phrase,edge,,axis_descriptor,context_dependent,medium,soft_edge,날카로운|각진,경계가 부드러운|모서리가 둥근|무디게 남는,cashmere|vanilla_cream|velvet,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
선이 얇은,선이 얇은,thin line,noun_phrase,edge,,axis_descriptor,context_dependent,medium,thin_line,두꺼운|넓게 번지는,선이 얇게 지나가는|가느다랗게 남는|실처럼 이어지는,organza|silk|citrus_peel,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
가느다란,가느다란,thin line,expression,edge,,axis_descriptor,context_dependent,medium,thin_line,두꺼운|넓게 번지는,선이 얇게 지나가는|가느다랗게 남는|실처럼 이어지는,organza|silk|citrus_peel,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
경계가 흐린,경계가 흐린,blurred boundary,noun_phrase,edge,,axis_descriptor,context_dependent,medium,blurred_boundary,중심이 또렷한|선명한,경계가 흐린|번져서 남는|뭉개진 윤곽,film_grain|cold_fog,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
번진,번진,blurred boundary,expression,edge,,axis_descriptor,context_dependent,medium,blurred_boundary,중심이 또렷한|선명한,경계가 흐린|번져서 남는|뭉개진 윤곽,film_grain|cold_fog,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
중심이 또렷한,중심이 또렷한,centered focus,adjective,edge,,axis_descriptor,context_dependent,medium,centered_focus,중심이 없는|퍼져 있는,중심이 또렷한|핵이 선명한|초점이 잡힌,four_k_clarity|crystal|cut_diamond,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
핵이 있는,핵이 있는,centered focus,adjective,edge,,axis_descriptor,context_dependent,medium,centered_focus,중심이 없는|퍼져 있는,중심이 또렷한|핵이 선명한|초점이 잡힌,four_k_clarity|crystal|cut_diamond,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
젖은,젖은,wet,expression,moisture,,axis_descriptor,context_dependent,medium,wet,마른|보송한,물기 어린 향|젖은 표면 같은|촉촉하게 남는,wet_moss|wet_stone|after_rain_garden,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
물기 어린,물기 어린,wet,noun_phrase,moisture,,axis_descriptor,context_dependent,medium,wet,마른|보송한,물기 어린 향|젖은 표면 같은|촉촉하게 남는,wet_moss|wet_stone|after_rain_garden,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
축축한,축축한,damp,adjective,moisture,,axis_descriptor,context_dependent,medium,damp,바짝 마른|건조한,축축하게 깔리는|습기 차게 남는|눅눅한 공기,forest_floor|rain_on_asphalt|barrel_cellar,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
눅눅한,눅눅한,damp,adjective,moisture,,axis_descriptor,context_dependent,medium,damp,바짝 마른|건조한,축축하게 깔리는|습기 차게 남는|눅눅한 공기,forest_floor|rain_on_asphalt|barrel_cellar,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
마른,마른,dry,expression,moisture,,axis_descriptor,context_dependent,medium,dry,젖은|눅눅한,마르게 남는|건조하게 깔리는|바짝 마른 느낌,dry_herb|cedarwood|fresh_linen,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
건조한,건조한,dry,adjective,moisture,,axis_descriptor,context_dependent,medium,dry,젖은|눅눅한,마르게 남는|건조하게 깔리는|바짝 마른 느낌,dry_herb|cedarwood|fresh_linen,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
이슬 맺힌,이슬 맺힌,dewy,noun_phrase,moisture,,axis_descriptor,context_dependent,medium,dewy,끈적한|탁한,이슬처럼 맺힌|맑은 물방울 같은|산뜻한 물기,green_stem|after_rain_garden,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
맑은 물방울의,맑은 물방울의,dewy,noun_phrase,moisture,,axis_descriptor,context_dependent,medium,dewy,끈적한|탁한,이슬처럼 맺힌|맑은 물방울 같은|산뜻한 물기,green_stem|after_rain_garden,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
끈적한 물기,끈적한 물기,sticky moist,noun_phrase,moisture,,axis_descriptor,context_dependent,medium,sticky_moist,보송한|맑은 물기,끈적한 물기|점성 있게 젖은|달라붙는 습도,honeycomb|burnt_sugar,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
점성 있는 습기,점성 있는 습기,sticky moist,noun_phrase,moisture,,axis_descriptor,context_dependent,medium,sticky_moist,보송한|맑은 물기,끈적한 물기|점성 있게 젖은|달라붙는 습도,honeycomb|burnt_sugar,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
초록빛의,초록빛의,green vegetal,expression,organic,,axis_descriptor,context_dependent,medium,green_vegetal,금속적인|광물적인,초록빛으로 올라오는|식물성으로 남는|풋풋한 줄기 같은,green_stem|wet_moss|dry_herb,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
식물성의,식물성의,green vegetal,expression,organic,,axis_descriptor,context_dependent,medium,green_vegetal,금속적인|광물적인,초록빛으로 올라오는|식물성으로 남는|풋풋한 줄기 같은,green_stem|wet_moss|dry_herb,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
흙내 나는,흙내 나는,earthy,adjective,organic,,axis_descriptor,context_dependent,medium,earthy,비누 같은|유리 같은,흙내가 나는|뿌리처럼 낮은|대지의 습도,forest_floor|wet_stone|after_rain_garden,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
뿌리 같은,뿌리 같은,earthy,adjective,organic,,axis_descriptor,context_dependent,medium,earthy,비누 같은|유리 같은,흙내가 나는|뿌리처럼 낮은|대지의 습도,forest_floor|wet_stone|after_rain_garden,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
나무 같은,나무 같은,woody,adjective,organic,,axis_descriptor,context_dependent,medium,woody,금속적인|크리미한,나무결 같은|목질적으로 남는|껍질처럼 거친,cedarwood|bark|old_wood,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
목질적인,목질적인,woody,adjective,organic,,axis_descriptor,context_dependent,medium,woody,금속적인|크리미한,나무결 같은|목질적으로 남는|껍질처럼 거친,cedarwood|bark|old_wood,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
살갗 같은,살갗 같은,animalic skin,adjective,organic,,axis_descriptor,context_dependent,medium,animalic_skin,유리 같은|차가운 금속,살갗 가까운|체온 섞인|동물성으로 낮은,leather|warm_cotton|cashmere,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
동물성의,동물성의,animalic skin,expression,organic,,axis_descriptor,context_dependent,medium,animalic_skin,유리 같은|차가운 금속,살갗 가까운|체온 섞인|동물성으로 낮은,leather|warm_cotton|cashmere,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
허브 같은,허브 같은,herbal bitter,adjective,organic,,axis_descriptor,context_dependent,medium,herbal_bitter,크리미한|시럽 같은,허브처럼 씁쓸한|마른 잎처럼 남는|식물성 쌉싸름함,dry_herb|black_tea|tobacco_leaf,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
씁쓸한 식물성,씁쓸한 식물성,herbal bitter,noun_phrase,organic,,axis_descriptor,context_dependent,medium,herbal_bitter,크리미한|시럽 같은,허브처럼 씁쓸한|마른 잎처럼 남는|식물성 쌉싸름함,dry_herb|black_tea|tobacco_leaf,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
돌 같은,돌 같은,stone like,adjective,mineral,,axis_descriptor,context_dependent,medium,stone_like,식물성|살갗 같은,돌 같은 차가움|광물적인 잔향|석재 표면 같은,wet_stone|slate|granite,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
석재 같은,석재 같은,stone like,adjective,mineral,,axis_descriptor,context_dependent,medium,stone_like,식물성|살갗 같은,돌 같은 차가움|광물적인 잔향|석재 표면 같은,wet_stone|slate|granite,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
금속적인,금속적인,metallic,adjective,mineral,,axis_descriptor,context_dependent,medium,metallic,크리미한|목질적인,금속적으로 남는|은빛으로 차가운|쇠맛 같은 긴장감,cold_metal|silver_spoon,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
쇠맛 같은,쇠맛 같은,metallic,adjective,mineral,,axis_descriptor,context_dependent,medium,metallic,크리미한|목질적인,금속적으로 남는|은빛으로 차가운|쇠맛 같은 긴장감,cold_metal|silver_spoon,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
유리 같은,유리 같은,glass like,adjective,mineral,,axis_descriptor,context_dependent,medium,glass_like,흙내 나는|보송한,유리 같은 표면|차갑게 반사되는|투명한 단단함,crystal|cut_diamond|silver_spoon,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
투명한 표면의,투명한 표면의,glass like,noun_phrase,mineral,,axis_descriptor,context_dependent,medium,glass_like,흙내 나는|보송한,유리 같은 표면|차갑게 반사되는|투명한 단단함,crystal|cut_diamond|silver_spoon,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
결정질의,결정질의,crystalline,expression,mineral,,axis_descriptor,context_dependent,medium,crystalline,흐릿한|탁한,결정질로 반짝이는|쨍하게 선명한|크리스탈 같은 투명감,crystal|cut_diamond|winter_dawn,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
크리스탈 같은,크리스탈 같은,crystalline,adjective,mineral,,axis_descriptor,context_dependent,medium,crystalline,흐릿한|탁한,결정질로 반짝이는|쨍하게 선명한|크리스탈 같은 투명감,crystal|cut_diamond|winter_dawn,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
콘크리트 같은,콘크리트 같은,concrete urban,adjective,mineral,,axis_descriptor,context_dependent,medium,concrete_urban,숲 같은|크림 같은,콘크리트 위의 비|아스팔트 같은 미네랄|도시적인 광물성,rain_on_asphalt|rainy_street|wet_stone,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
아스팔트의,아스팔트의,concrete urban,expression,mineral,,axis_descriptor,context_dependent,medium,concrete_urban,숲 같은|크림 같은,콘크리트 위의 비|아스팔트 같은 미네랄|도시적인 광물성,rain_on_asphalt|rainy_street|wet_stone,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
필름 같은,필름 같은,film like,adjective,rendering,,axis_descriptor,context_dependent,medium,film_like,4K 같은|고해상도의,필름처럼 남는|노이즈가 있는 장면|감정이 남는 렌더링,film_grain|old_library|late_night_air,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
노이즈 있는,노이즈 있는,film like,adjective,rendering,,axis_descriptor,context_dependent,medium,film_like,4K 같은|고해상도의,필름처럼 남는|노이즈가 있는 장면|감정이 남는 렌더링,film_grain|old_library|late_night_air,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
4K 같은,4K 같은,four k like,adjective,rendering,,axis_descriptor,context_dependent,medium,four_k_like,흐릿한|필름 같은,4K처럼 선명한|입자가 다 보이는|고해상도로 잡히는,four_k_clarity|cut_diamond|crystal,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
고해상도의,고해상도의,four k like,expression,rendering,,axis_descriptor,context_dependent,medium,four_k_like,흐릿한|필름 같은,4K처럼 선명한|입자가 다 보이는|고해상도로 잡히는,four_k_clarity|cut_diamond|crystal,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
소프트 포커스의,소프트 포커스의,soft focus,noun_phrase,rendering,,axis_descriptor,context_dependent,medium,soft_focus,정밀한|초점이 맞은,소프트 포커스로 남는|부드럽게 흐려진|초점이 풀린 장면,film_grain|cold_fog|organza,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
부드럽게 흐려진,부드럽게 흐려진,soft focus,noun_phrase,rendering,,axis_descriptor,context_dependent,medium,soft_focus,정밀한|초점이 맞은,소프트 포커스로 남는|부드럽게 흐려진|초점이 풀린 장면,film_grain|cold_fog|organza,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
정밀한,정밀한,precision first,adjective,rendering,,axis_descriptor,context_dependent,medium,precision_first,분위기 중심의|흐린,정밀하게 보이는|디테일이 살아 있는|세밀하게 잘린,four_k_clarity|cut_diamond|silver_spoon,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
세밀한,세밀한,precision first,adjective,rendering,,axis_descriptor,context_dependent,medium,precision_first,분위기 중심의|흐린,정밀하게 보이는|디테일이 살아 있는|세밀하게 잘린,four_k_clarity|cut_diamond|silver_spoon,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
분위기 중심의,분위기 중심의,atmosphere first,noun_phrase,rendering,,axis_descriptor,context_dependent,medium,atmosphere_first,정밀한|건조하게 분석되는,분위기가 먼저 오는|장면적으로 남는|무드가 핵심인,film_grain|barrel_cellar|forest_floor,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
장면적인,장면적인,atmosphere first,adjective,rendering,,axis_descriptor,context_dependent,medium,atmosphere_first,정밀한|건조하게 분석되는,분위기가 먼저 오는|장면적으로 남는|무드가 핵심인,film_grain|barrel_cellar|forest_floor,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
조화로운,조화로운,harmonious,adjective,balance,,contrast_descriptor,context_dependent,medium,harmonious,불균형한|산만한,조화롭게 이어지는|균형 있게 남는|자연스럽게 연결되는,warm_cotton|vanilla_cream|clean_room,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
균형 잡힌,균형 잡힌,harmonious,noun_phrase,balance,,contrast_descriptor,context_dependent,medium,harmonious,불균형한|산만한,조화롭게 이어지는|균형 있게 남는|자연스럽게 연결되는,warm_cotton|vanilla_cream|clean_room,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
대비되는,대비되는,contrasting,adjective,balance,,contrast_descriptor,context_dependent,medium,contrasting,단일한|평평한,달콤하지만 무겁지 않은|차갑지만 부드러운|반전이 있는,film_grain|wet_moss,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
A지만 B인,A지만 B인,contrasting,noun_phrase,balance,,contrast_descriptor,context_dependent,medium,contrasting,단일한|평평한,달콤하지만 무겁지 않은|차갑지만 부드러운|반전이 있는,film_grain|wet_moss,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
산만한,산만한,scattered,adjective,balance,,contrast_descriptor,context_dependent,medium,scattered,단정한|중심이 또렷한,산만하게 퍼지는|중심 없이 흩어지는|정리되지 않은,cold_fog|rainy_street,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
흩어진,흩어진,scattered,expression,balance,,contrast_descriptor,context_dependent,medium,scattered,단정한|중심이 또렷한,산만하게 퍼지는|중심 없이 흩어지는|정리되지 않은,cold_fog|rainy_street,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
절제된,절제된,restrained,expression,balance,,contrast_descriptor,context_dependent,medium,restrained,과한|폭발적인,절제되어 남는|단정하게 정리된|과하지 않은 균형,clean_room|fresh_linen|slate,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
단정한,단정한,restrained,adjective,balance,,contrast_descriptor,context_dependent,medium,restrained,과한|폭발적인,절제되어 남는|단정하게 정리된|과하지 않은 균형,clean_room|fresh_linen|slate,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
불균형한,불균형한,unstable,adjective,balance,,contrast_descriptor,context_dependent,medium,unstable,조화로운|둥근,불균형하게 흔들리는|긴장감 있게 남는|삐걱이는 느낌,cold_metal|rain_on_asphalt,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
긴장감 있는,긴장감 있는,unstable,adjective,balance,,contrast_descriptor,context_dependent,medium,unstable,조화로운|둥근,불균형하게 흔들리는|긴장감 있게 남는|삐걱이는 느낌,cold_metal|rain_on_asphalt,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
시원한,시원한,refreshing cool,adjective,temperature,,axis_descriptor,positive,medium,cool_cold,뜨거운|답답한,시원하게 트이는|맑고 시원한|시원하지만 차갑지는 않은,sea_breeze|mountain_stream,,axis_descriptor,자주 쓰이는 일반 감각 표현. object가 아니라 modifier/axis로 관리한다.
질긴,질긴,tough,adjective,texture,,axis_descriptor,negative,medium,rough_grainy,부드러운|매끈한,질기게 남는|입안에 질긴 느낌|부드럽지 않고 질긴,leather|bark,,axis_descriptor,자주 쓰이는 일반 감각 표현. object가 아니라 modifier/axis로 관리한다.
크리미한,크리미한,creamy,adjective,texture,density,axis_descriptor,positive,medium,soft_smooth,날카로운|수렴감 있는,크리미하게 감싸는|부드럽고 둥근|크림처럼 남는,vanilla_cream|warm_cotton,lactonic_milk_softness,axis_descriptor,자주 쓰이는 일반 감각 표현. object가 아니라 modifier/axis로 관리한다.
맴도는,맴도는,hovering,verb,motion,finish,motion_descriptor,neutral,medium,spreading,짧게 끊기는,입안에 맴도는|공기 중에 맴도는|천천히 맴돌다,black_tea|film_grain,,modifier_candidate,자주 쓰이는 일반 감각 표현. object가 아니라 modifier/axis로 관리한다.
터지는,터지는,bursting,verb,motion,light,motion_descriptor,positive,medium,rising,가라앉는|낮게 깔리는,처음에 터지는|상큼하게 터지는|밝게 터지는,citrus_peel|four_k_clarity,,modifier_candidate,자주 쓰이는 일반 감각 표현. object가 아니라 modifier/axis로 관리한다.
밀려오는,밀려오는,rolling in,verb,motion,space,motion_descriptor,neutral,medium,spreading,얇게 지나가는,넓게 밀려오는|파도처럼 밀려오는|공기처럼 밀려오는,sea_breeze|cold_fog,,modifier_candidate,자주 쓰이는 일반 감각 표현. object가 아니라 modifier/axis로 관리한다.
낡은,낡은,aged worn,adjective,atmosphere,time,atmosphere_descriptor,context_dependent,medium,aging_old,새로운|깨끗한,낡은 책장 같은|오래된 방 같은|시간이 밴,old_library|old_wood,,modifier_candidate,자주 쓰이는 일반 감각 표현. object가 아니라 modifier/axis로 관리한다.
건조한,건조한,dry,adjective,moisture,texture,axis_descriptor,neutral,medium,dry,젖은|축축한,건조하게 남는|마른 표면 같은|물기 없이 드라이한,dry_herb|cedarwood|fresh_linen,,axis_descriptor,자주 쓰이는 일반 감각 표현. object가 아니라 modifier/axis로 관리한다.
습한,습한,humid,adjective,atmosphere,moisture,atmosphere_descriptor,context_dependent,medium,damp,건조한|바짝 마른,습한 공기|습하게 깔리는|물기가 도는,wet_moss|barrel_cellar,,modifier_candidate,자주 쓰이는 일반 감각 표현. object가 아니라 modifier/axis로 관리한다.
윤이 나다,윤이 나다,to be glossy,expression,light,texture,axis_descriptor,positive,medium,glossy_shiny,매트한|탁한,윤이 나는 표면|차갑게 윤이 나다|매끈하게 빛나다,marble|silver_spoon,,axis_descriptor,자주 쓰이는 일반 감각 표현. object가 아니라 modifier/axis로 관리한다.
