domain,vocabulary_type,term,korean_label,sensory_family,mapped_existing_objects,candidate_object_id,core_axes,suggested_phrase_cues,negative_cues,integration_status,notes
coffee,tasting_descriptor,tea-like,차 같은,Tea / Clarity,black_tea|dry_herb,tea_like_clarity,temperature=Warm; texture=Dry; rendering=Detail-first,차처럼 맑은 커피|찻잎 같은 깨끗한 여운|가볍고 투명한 드라이함,syrupy|smoky|creamy,candidate_object,coffee processing descriptor
coffee,tasting_descriptor,fermented,발효된,Fermented,rain_on_asphalt|black_tea,coffee_fermented_winey,temperature=Warm; density=Medium; atmosphere=Funky,발효 과일 같은 향|살짝 와이니한 복합감|익숙하지 않은 숙성 산미,clean_room|fresh_linen|soap,candidate_object,과하면 do-not-integrate 검토
coffee,tasting_descriptor,winey,와이니,Wine-like,black_tea|honeycomb,coffee_fermented_winey,temperature=Warm; texture=Juicy; atmosphere=Fermented,와인 같은 과실 산미|발효된 베리 느낌|붉은 액체 같은 여운,clean|laundry|metallic,candidate_object,coffee fermented 후보
coffee,tasting_descriptor,earthy,흙내,Earth,forest_floor|wet_soil,wet_soil,temperature=Cool; texture=Moist; atmosphere=Earthy,젖은 흙 같은 커피|낮게 깔리는 흙내|숲 바닥 같은 어두움,citrus|floral|clean,candidate_object,earthy shared
coffee,tasting_descriptor,woody,우디,Wood,cedarwood|old_wood,oak_tannin_dryness,texture=Dry; atmosphere=Aged; density=Medium,마른 나무 같은 여운|오래된 목재의 드라이함|차분한 우디함,citrus|aquatic|floral,candidate_object,woody mapping
coffee,tasting_descriptor,smoky,스모키,Smoke,fireplace_ash|charred_oak,peat_smoke,texture=Dry; atmosphere=Dark; motion=Linger,살짝 탄 로스팅 향|연기처럼 남는 쓴맛|어두운 스모키 잔향,fresh_linen|jasmine|citrus,candidate_object,smoky mapping
coffee,tasting_descriptor,spicy,스파이시,Spice,dry_herb|charred_oak,dry_spice,temperature=Warm; texture=Sharp; motion=Linger,향신료 같은 따뜻함|톡 쏘는 드라이함|끝에 남는 스파이스,clean|aquatic|cream,candidate_object,spice mapping
coffee,tasting_descriptor,herbal,허브 느낌,Herbal,dry_herb|green_stem,herbal_bitterness,temperature=Cool; texture=Dry; atmosphere=Green,허브처럼 씁쓸한 커피|마른 잎의 향|식물성 드라이함,caramel|cream|chocolate,candidate_object,herbal bitterness
coffee,family,green,그린,Green,green_stem,green_leaf_crush,temperature=Cool; texture=Crisp; atmosphere=Green,덜 익은 초록 느낌|풋풋한 줄기 향|푸른 식물성 향,caramel|roasted|chocolate,candidate_object,green candidate
coffee,tasting_descriptor,grassy,풀 같은,Green,green_stem|dry_herb,green_leaf_crush,temperature=Cool; texture=Crisp; atmosphere=Garden,풀잎 같은 풋내|아삭한 초록 향|막 꺾은 줄기의 느낌,cocoa|smoke|barrel,candidate_object,green subdescriptor
coffee,texture_descriptor,creamy,크리미,Creamy,vanilla_cream|warm_cotton,lactonic_milk_softness,temperature=Warm; texture=Smooth; density=Soft,크림처럼 부드러운 질감|둥글게 감싸는 바디|하얗고 매끈한 여운,sharp|metallic|astringent,candidate_object,texture/body 후보
coffee,texture_descriptor,syrupy,시럽 같은,Body / Syrup,honeycomb|burnt_sugar,syrupy_body,temperature=Warm; density=Thick; texture=Sticky,시럽처럼 두꺼운 바디|끈적하게 남는 단맛|입안에 차오르는 밀도,thin|clean|sharp,candidate_object,body axis 후보
coffee,tasting_descriptor,clean finish,깨끗한 피니시,Finish,clean_room|fresh_linen,clean_finish,texture=Clean; motion=Release; rendering=Clear,끝이 깨끗하게 떨어지는 느낌|잔향이 맑게 정리됨|텁텁함 없는 마무리,muddy|smoky|sticky,candidate_object,finish candidate
coffee,tasting_descriptor,bitter,쓴맛,Bitter,black_tea|dark_chocolate,herbal_bitterness,texture=Dry; atmosphere=Bitter; motion=Linger,카카오 같은 쌉쌀함|허브처럼 남는 쓴맛|드라이하게 맴도는 쓴 여운,creamy|honey|soft musk,axis_descriptor,axis로 우선 사용
coffee,texture_descriptor,astringent,수렴감,Astringent,black_tea|charred_oak,astringent_dryness,texture=Dry; motion=Grip; density=Thin,입안이 마르는 수렴감|혀를 조이는 드라이함|차잎 같은 떫은 느낌,syrupy|creamy|soft,candidate_object,tannin과 연결
cross_domain,texture_descriptor,powdery,파우더리,Texture,velvet|warm_cotton,powder_cloud,texture=Powdery; density=Soft; atmosphere=Muted,가루처럼 보송한 잔향|매트하고 고운 질감|분가루처럼 흐려지는 향,wet|metallic|sharp,candidate_object,다중 도메인 texture
cross_domain,texture_descriptor,creamy,크리미,Texture,vanilla_cream|warm_cotton,lactonic_milk_softness,texture=Smooth; density=Soft; temperature=Warm,크림처럼 둥근 질감|하얗고 매끈한 부드러움|부드럽게 감싸는 바디,sharp|astringent|metallic,candidate_object,texture descriptor
cross_domain,texture_descriptor,syrupy,시럽 같은,Texture,honeycomb|burnt_sugar,syrupy_body,texture=Sticky; density=Thick; motion=Linger,시럽처럼 두꺼운 질감|끈적하게 남는 여운|무게감 있는 단맛,airy|sharp|clean finish,candidate_object,body/density 후보
cross_domain,texture_descriptor,astringent,수렴감,Texture,black_tea|charred_oak,astringent_dryness,texture=Dry; motion=Grip; density=Thin,혀를 조이는 드라이함|마른 잎 같은 떫음|입안을 당기는 감각,creamy|syrupy|soft,candidate_object,tannin/tea/coffee 연결
cross_domain,atmosphere_descriptor,clean,깨끗한,Clean,fresh_linen|clean_room|cold_fog,soap_clean,temperature=Cool; texture=Clean; atmosphere=Clean Room,먼지 없이 정돈된 향|비누처럼 하얀 청결감|깨끗하게 떨어지는 잔향,leather|tobacco|earthy,candidate_object,clean family
cross_domain,atmosphere_descriptor,smoky,스모키,Smoke,fireplace_ash|charred_oak|tobacco_leaf,peat_smoke,texture=Dry; atmosphere=Dark; density=Medium,연기처럼 낮게 남는 향|탄 나무의 어두움|드라이한 스모키함,fresh_linen|clean_room|citrus,candidate_object,smoky family
cross_domain,atmosphere_descriptor,earthy,흙내,Earth,forest_floor|wet_stone,wet_soil,temperature=Cool; texture=Moist; atmosphere=Earthy,비 맞은 흙 냄새|낮게 깔리는 흙내|숲 바닥의 습도,soap|citrus|metallic,candidate_object,earthy family
cross_domain,atmosphere_descriptor,mineral,미네랄,Mineral,wet_stone|slate|granite,mineral_spark,temperature=Cool; texture=Hard; light=Clear,돌처럼 차가운 선명함|광물성 긴장감|물기 어린 미네랄감,cream|honey|skin musk,candidate_object,mineral family
cross_domain,family,woody,우디,Wood,cedarwood|old_wood|charred_oak,oak_tannin_dryness,texture=Dry; atmosphere=Aged; density=Medium,마른 나무결|오래된 목재|드라이한 우디 잔향,aquatic|citrus|soap,candidate_object,woody family
cross_domain,family,green,그린,Green,green_stem|dry_herb|wet_moss,green_leaf_crush,temperature=Cool; texture=Crisp; atmosphere=Garden,잎을 으깬 초록 향|풋풋하고 아삭한 녹색감|줄기와 잎의 물기,amber|smoke|leather,candidate_object,green family
cross_domain,family,gourmand,구르망,Sweet,vanilla_cream|burnt_sugar|butter_toast|honeycomb,golden_density,temperature=Warm; density=Thick; texture=Smooth,먹을 수 있을 것 같은 단맛|크림과 설탕의 밀도|따뜻한 디저트 같은 향,metallic|ozonic|green,candidate_object,넓은 family라 리뷰 필요
cross_domain,family,resinous,수지 같은,Resin,pine_resin|honeycomb|charred_oak,warm_resin,temperature=Warm; texture=Sticky; density=Thick,수지처럼 끈적한 잔향|따뜻한 나무 진액|달큰하고 두꺼운 수지감,clean|citrus|metallic,candidate_object,resin family
cross_domain,family,amber,앰버,Amber,honeycomb|vanilla_cream,amber_glow,temperature=Warm; light=Golden; density=Thick,금빛으로 따뜻한 잔향|피부 위에 남는 앰버|달고 두꺼운 온기,cold_metal|ozonic|green,candidate_object,amber family
cross_domain,family,musky,머스크,Musk,warm_cotton|cashmere|clean_room,white_musk_clean_skin,temperature=Warm; texture=Soft; atmosphere=Skin,피부 가까이 남는 향|하얗고 부드러운 머스크|체온 섞인 깨끗함,asphalt|ash|iodine,candidate_object,musk family
cross_domain,family,aquatic,아쿠아틱,Water,sea_breeze|mountain_stream|cold_fog,aquatic_clean_water,temperature=Cool; texture=Clean; motion=Flow,깨끗한 물의 청량감|차갑고 투명한 물기|흐르는 듯한 향,smoke|leather|barrel,candidate_object,water family
cross_domain,texture_descriptor,metallic,메탈릭,Metal,cold_metal|silver_spoon,cold_glass,temperature=Cold; texture=Hard; light=Reflective,차갑고 단단한 반사감|금속과 유리 사이의 선명함|입안에 남는 차가운 광택,cream|honey|wool,candidate_object,metallic/glass candidate
cross_domain,texture_descriptor,sharp,샤프한,Texture,cut_diamond|citrus_peel,,texture=Sharp; rendering=Precision-first; light=Clear,날카롭게 잘리는 느낌|윤곽이 선명한 향|차갑게 끊기는 감각,soft|syrupy|creamy,axis_descriptor,axis descriptor
cross_domain,texture_descriptor,soft,부드러운,Texture,cashmere|warm_cotton|velvet,,texture=Soft; density=Medium; atmosphere=Comfort,부드럽게 감싸는 느낌|둥글고 포근한 질감|모서리 없는 향,sharp|metallic|astringent,axis_descriptor,axis descriptor
cross_domain,atmosphere_descriptor,dark,어두운,Atmosphere,dark_chocolate|tobacco_leaf|barrel_cellar,dark_resin,light=Dark; density=Dense; atmosphere=Aged,어둡고 낮게 깔리는 향|빛을 삼키는 밀도|검은 수지 같은 잔향,bright|clean|citrus,candidate_object,dark atmosphere candidate
cross_domain,atmosphere_descriptor,bright,밝은,Light,citrus_peel|four_k_clarity,bergamot_brightness,light=Bright; texture=Clear; motion=Rise,밝게 올라오는 향|선명하고 차가운 빛|맑게 튀는 첫인상,dark|smoky|dense,candidate_object,brightness candidate
